frame,track_id,class_name,x1,y1,x2,y2,center_x,center_y,confidence
0,0,car,635.07,693.11,678.03,745.63,656.55,719.37,1.0
0,1,car,1120.2,683.78,1150.63,740.51,1135.415,712.145,1.0
0,2,car,742.35,572.66,772.01,613.43,757.1800000000001,593.045,1.0
0,3,car,1413.76,814.99,1440.94,868.62,1427.35,841.8050000000001,1.0
0,4,person,1386.19,431.91,1399.69,463.41,1392.94,447.66,1.0
0,5,car,930.07,517.69,964.7,556.95,947.385,537.32,1.0
0,6,car,1569.94,928.73,1615.39,961.1,1592.665,944.915,1.0
0,7,person,882.17,443.36,890.31,459.89,886.24,451.625,1.0
0,8,motorcycle,1146.39,627.26,1172.0,672.45,1159.1950000000002,649.855,1.0
0,9,car,543.33,511.96,599.02,558.72,571.175,535.34,1.0
0,10,car,1469.3,820.25,1501.57,875.96,1485.435,848.105,1.0
0,11,person,794.27,711.64,805.05,731.61,799.66,721.625,1.0
0,12,person,718.0,613.75,731.41,638.58,724.7049999999999,626.165,1.0
0,13,person,1461.93,425.88,1476.37,462.76,1469.15,444.32,1.0
0,14,motorcycle,1157.17,969.5,1181.21,991.67,1169.19,980.585,1.0
0,15,car,1519.37,814.38,1559.46,865.89,1539.415,840.135,1.0
0,16,person,794.76,430.5,810.48,454.82,802.62,442.65999999999997,1.0
0,17,car,1624.29,809.39,1654.49,866.27,1639.3899999999999,837.8299999999999,1.0
0,18,car,1561.97,1000.98,1595.67,1051.65,1578.8200000000002,1026.315,1.0
0,19,car,1594.67,1002.27,1617.6,1037.57,1606.135,1019.92,1.0
0,20,car,1162.96,578.31,1206.33,618.43,1184.645,598.3699999999999,1.0
0,21,motorcycle,529.02,205.14,552.07,229.5,540.5450000000001,217.32,1.0
0,22,motorcycle,1106.85,623.31,1142.32,664.89,1124.585,644.0999999999999,1.0
0,23,motorcycle,1136.17,466.77,1173.4,501.32,1154.785,484.04499999999996,1.0
0,24,person,879.55,700.07,891.27,725.17,885.41,712.62,1.0
0,25,car,938.34,971.53,989.17,1009.06,963.755,990.295,1.0
0,26,car,679.74,614.97,718.48,642.9,699.11,628.935,1.0
0,27,motorcycle,581.45,139.42,602.05,162.65,591.75,151.035,1.0
0,28,car,588.22,411.71,623.1,473.76,605.6600000000001,442.735,1.0
0,29,motorcycle,1170.02,681.0,1196.42,701.0,1183.22,691.0,1.0
0,30,person,1262.1,604.97,1272.66,633.34,1267.38,619.155,1.0
0,31,car,394.62,794.69,429.77,855.8,412.195,825.245,1.0
0,32,car,610.01,349.34,638.59,416.93,624.3,383.135,1.0
0,33,person,869.85,756.74,884.6,785.14,877.225,770.94,1.0
0,34,person,858.08,822.15,868.4,842.32,863.24,832.235,1.0
0,35,car,469.09,510.57,510.45,546.22,489.77,528.395,1.0
0,36,motorcycle,494.84,542.96,514.13,563.81,504.485,553.385,1.0
0,37,car,1564.86,895.64,1630.94,931.58,1597.9,913.61,1.0
0,38,person,1025.58,587.22,1037.92,606.24,1031.75,596.73,1.0
0,39,motorcycle,646.24,336.99,657.28,368.84,651.76,352.91499999999996,1.0
0,40,car,322.84,501.98,364.68,539.76,343.76,520.87,1.0
0,41,person,934.52,846.7,946.62,873.25,940.5699999999999,859.975,1.0
0,42,motorcycle,208.62,544.51,237.74,571.22,223.18,557.865,1.0
0,43,motorcycle,335.15,648.54,377.41,678.28,356.28,663.41,1.0
